Symbol,Company Name,Security Price,Volume (90 Day Avg),Market Capitalization,Dividend Yield,Company Headquarters Location,Sector,Industry,Optionable
ABCB,Ameris Bancorp,57.78,0.41835,3940000000.0,1.40351,United States of America,Financials,Banks,Yes 
ACNB,ACNB ,41.47,0.03029,436060000.0,3.09478,United States of America,Financials,Banks,No
ADKT,Adirondack Trust ,1100.0,1e-05,44000000.0,5.31818,United States of America,Financials,Banks,No
ALBY,mmunity Capital Bancshares ,22.076,0.00112,28430000.0,3.39735,United States of America,Financials,Banks,No
BCTF,Bancorp 34 ,12.0858,0.00354,82710000.0,0.0,United States of America,Financials,Banks,No
AMBZ,American Business Bank/CA,44.35,0.00749,406400000.0,2.23964,United States of America,Financials,Banks,No
HTH,Hilltop Holdings ,30.65,0.34394,1970000000.0,2.37154,United States of America,Financials,Banks,Yes 
AROW,Arrow Financial ,26.33,0.03969,440520000.0,4.25047,United States of America,Financials,Banks,Yes 
ASB,Associated Banc-,22.62,1.61244,3670000000.0,4.14788,United States of America,Financials,Banks,Yes 
ASRV,AmeriServ Financial ,2.45,0.0131,40310000.0,4.91803,United States of America,Financials,Banks,Yes 
ATLO,Ames National ,17.44,0.01846,156970000.0,4.54416,United States of America,Financials,Banks,No
AUBN,Auburn National Bancorporation ,21.31,0.00326,76800000.0,4.91356,United States of America,Financials,Banks,No
BANF,BancFirst ,109.99,0.10502,3640000000.0,1.67791,United States of America,Financials,Banks,Yes 
BANR,Banner ,63.89,0.22369,2190000000.0,3.02362,United States of America,Financials,Banks,Yes 
TFC,Truist Financial ,41.56,7.81997,53550000000.0,5.0707,United States of America,Financials,Banks,Yes 
BCBP,BCB Bancorp ,9.91,0.05105,169060000.0,6.49746,United States of America,Financials,Banks,Yes 
BHB,Bar Harbor Bankshares,29.88,0.0429,456010000.0,4.02414,United States of America,Financials,Banks,No
BHLB,Berkshire Hills Bancorp ,26.21,0.4632,1210000000.0,2.75968,United States of America,Financials,Banks,Yes 
BHRB,Burke & Herbert Financial Services ,56.23,0.05036,839050000.0,3.92857,United States of America,Financials,Banks,No
BKSC,Bank of South Carolina ,13.6,0.0024,73830000.0,5.58824,United States of America,Financials,Banks,No
BMRC,Bank of Marin Bancorp,22.12,0.05928,352960000.0,4.56621,United States of America,Financials,Banks,No
BNCC,BNCCORP ,32.9,0.00313,112700000.0,0.0,United States of America,Financials,Banks,No
BOH,Bank of Hawaii ,69.5,0.41312,2720000000.0,4.08938,United States of America,Financials,Banks,Yes 
BOTJ,Bank of the James Financial Group ,14.5,0.00899,67150000.0,2.70636,United States of America,Financials,Banks,No
BOKF,BOK Financial ,103.42,0.13975,6630000000.0,2.21166,United States of America,Financials,Banks,Yes 
BPOP,Popular ,93.06,0.53751,6320000000.0,3.07321,United States of America,Financials,Banks,Yes 
BRBS,Blue Ridge Bankshares ,3.3,0.21293,280930000.0,0.0,United States of America,Financials,Banks,No
BRKL,Brookline Bancorp ,10.96,0.61974,969460000.0,4.96324,United States of America,Financials,Banks,Yes 
BSRR,Sierra Bancorp,27.91,0.04501,387780000.0,3.60101,United States of America,Financials,Banks,Yes 
BUSE,First Busey ,21.72,0.37002,1940000000.0,4.63607,United States of America,Financials,Banks,Yes 
BVFL,BV Financial ,15.2,0.03678,161560000.0,0.0,United States of America,Financials,Banks,No
CADE,Cadence Bank,30.46,1.1559,5580000000.0,3.61723,United States of America,Financials,Banks,Yes 
BYFC,Broadway Financial ,6.76,0.00534,42210000.0,0.0,United States of America,Financials,Banks,No
CAC,Camden National ,40.31,0.07648,678480000.0,4.17599,United States of America,Financials,Banks,Yes 
CASH,Pathward Financial ,75.43,0.19698,1760000000.0,0.27053,United States of America,Financials,Banks,Yes 
CATY,Cathay General Bancorp,42.89,0.3748,3010000000.0,3.17609,United States of America,Financials,Banks,Yes 
CBAN,lony Bankcorp ,16.3,0.06318,284350000.0,2.83426,United States of America,Financials,Banks,No
CBKM,nsumers Bancorp ,20.25,0.00182,63420000.0,3.75309,United States of America,Financials,Banks,No
CBSH,mmerce Bancshares ,62.3,0.55993,8330000000.0,1.76991,United States of America,Financials,Banks,Yes 
