Symbol,Company Name,P/E (Price/TTM Earnings),PEG Ratio,EPS Growth (Proj This Yr vs. Last Yr),Institutional Ownership,Institutional Ownership (Last vs. Prior Qtr)
ABCB,Ameris Bancorp,11.1,0.0,0.89641,91.2386,0.4058
ACNB,ACNB ,11.1,0.0,14.79893,36.8542,3.2059
ADKT,Adirondack Trust ,0.0,0.0,0.0,0.0,0.0
ALBY,mmunity Capital Bancshares ,0.0,0.0,0.0,0.0,0.0
BCTF,Bancorp 34 ,48.3,0.0,0.0,4.0534,0.0
AMBZ,American Business Bank/CA,9.6,0.0,0.0,8.6732,-1.2966
HTH,Hilltop Holdings ,17.6,0.0,-10.68966,57.2436,0.7774
AROW,Arrow Financial ,14.9,0.0,49.43503,51.028,3.1698
ASB,Associated Banc-,31.4,0.0,3.40336,86.2769,11.7844
ASRV,AmeriServ Financial ,11.7,0.0,0.0,39.6188,15.8101
ATLO,Ames National ,15.3,0.0,0.0,29.3177,7.0722
AUBN,Auburn National Bancorporation ,11.6,0.0,0.0,10.0442,18.0798
BANF,BancFirst ,17.1,0.0,-1.86335,48.7217,-0.8941
BANR,Banner ,13.1,0.0,6.06557,92.322,2.3032
TFC,Truist Financial ,0.0,0.0,9.48509,73.8961,1.2191
BCBP,BCB Bancorp ,10.0,0.0,-8.89764,37.5906,0.1858
BHB,Bar Harbor Bankshares,10.5,0.0,2.74648,57.0324,1.8549
BHLB,Berkshire Hills Bancorp ,18.3,0.0,14.61538,86.3694,11.2882
BHRB,Burke & Herbert Financial Services ,19.9,0.0,6.63338,0.0,4.2452
BKSC,Bank of South Carolina ,11.1,0.0,0.0,0.0,0.0
BMRC,Bank of Marin Bancorp,0.0,0.0,0.0,57.6293,4.5174
BNCC,BNCCORP ,14.8,0.0,0.0,0.0,0.0
BOH,Bank of Hawaii ,20.1,0.0,15.08671,78.8362,0.4378
BOTJ,Bank of the James Financial Group ,8.3,0.0,0.0,23.062,5.7053
BOKF,BOK Financial ,12.7,0.0,5.81081,34.1517,0.5278
BPOP,Popular ,10.9,0.0,16.4486,89.6098,-1.2099
BRBS,Blue Ridge Bankshares ,0.0,0.0,0.0,0.0,7.6847
BRKL,Brookline Bancorp ,14.2,0.0,42.20779,83.6396,2.9118
BSRR,Sierra Bancorp,9.9,0.0,1.77305,57.0562,-3.3559
BUSE,First Busey ,11.0,0.0,22.45192,61.2357,6.5022
BVFL,BV Financial ,13.8,0.0,0.0,35.6795,-2.6698
CADE,Cadence Bank,11.0,0.0,4.08759,85.3653,2.2908
BYFC,Broadway Financial ,169.0,0.0,0.0,22.4972,7.7692
CAC,Camden National ,11.1,0.0,19.47945,67.2707,4.4801
CASH,Pathward Financial ,11.0,0.0,12.1148,82.9147,17.7941
